"Altitude [m]","Temperature [Kelvin]","Pressure [pascal]","Density [kg/m3]","Speed of sound [m/s]","Viscosity [Pa.s]"
84700,187.25,0.383892,0.00000714209,274.319,0.0000126097
84750,187.15,0.380405,0.00000708099,274.246,0.0000126037
84800,187.05,0.376948,0.00000702039,274.173,0.0000125977
84850,186.95,0.37352,0.00000696028,274.099,0.0000125917
84900,186.946,0.370123,0.00000689712,274.096,0.0000125915
84950,186.946,0.366756,0.00000683438,274.096,0.0000125915
85000,186.946,0.36342,0.00000677222,274.096,0.0000125915
85050,186.946,0.360115,0.00000671062,274.096,0.0000125915
85100,186.946,0.356839,0.00000664959,274.096,0.0000125915
85150,186.946,0.353594,0.00000658911,274.096,0.0000125915
85200,186.946,0.350378,0.00000652917,274.096,0.0000125915
85250,186.946,0.347191,0.00000646979,274.096,0.0000125915
85300,186.946,0.344033,0.00000641094,274.096,0.0000125915
85350,186.946,0.340904,0.00000635263,274.096,0.0000125915
85400,186.946,0.337803,0.00000629485,274.096,0.0000125915
85450,186.946,0.33473,0.00000623759,274.096,0.0000125915
85500,186.946,0.331686,0.00000618086,274.096,0.0000125915
85550,186.946,0.328669,0.00000612464,274.096,0.0000125915
85600,186.946,0.32568,0.00000606893,274.096,0.0000125915
85650,186.946,0.322717,0.00000601373,274.096,0.0000125915
85700,186.946,0.319782,0.00000595904,274.096,0.0000125915
85750,186.946,0.316873,0.00000590484,274.096,0.0000125915
85800,186.946,0.313991,0.00000585113,274.096,0.0000125915
85850,186.946,0.311135,0.00000579791,274.096,0.0000125915
85900,186.946,0.308305,0.00000574517,274.096,0.0000125915
85950,186.946,0.305501,0.00000569292,274.096,0.0000125915
86000,186.946,0.302723,0.00000564114,274.096,0.0000125915
